Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-02T01:46:34.592Z","Included","auto","No","21865","0","68608","3043","93516","0.06"
"2025-12-01T13:15:54.637Z","Included","auto","No","26134","0","404992","9107","440233","0.19"
"2025-12-01T12:56:34.058Z","Included","auto","No","136654","0","853248","26477","1016379","0.54"
"2025-12-01T12:49:10.345Z","Included","auto","No","26323","0","190720","4617","221660","0.11"
"2025-12-01T12:38:26.360Z","Included","auto","No","23558","0","190208","5713","219479","0.11"
"2025-12-01T12:35:39.578Z","Included","auto","No","40628","0","59136","733","100497","0.07"
"2025-12-01T12:26:02.724Z","Included","auto","No","22966","0","344064","1953","368983","0.13"
"2025-12-01T12:23:12.497Z","Included","auto","No","20838","0","245760","3873","270471","0.11"
"2025-12-01T12:14:25.486Z","Included","auto","No","29374","0","157184","2176","188734","0.09"
"2025-12-01T12:01:21.405Z","Included","auto","No","12006","0","50688","1219","63913","0.03"
"2025-12-01T09:42:35.237Z","Included","auto","No","36813","0","321536","4059","362408","0.15"
"2025-12-01T08:36:07.193Z","Included","auto","No","18441","0","212736","2213","233390","0.09"
"2025-12-01T08:32:45.719Z","Included","auto","No","12765","0","157184","2035","171984","0.07"
"2025-12-01T08:23:32.731Z","Included","auto","No","30917","0","376576","6660","414153","0.17"
"2025-12-01T08:19:32.968Z","Included","auto","No","41168","0","171776","1325","214269","0.10"
"2025-12-01T07:20:27.074Z","Included","auto","No","29598","0","50944","1684","82226","0.06"
"2025-11-28T10:09:34.098Z","Included","auto","No","9979","0","514560","821","525360","0.15"
"2025-11-28T10:07:13.339Z","Included","auto","No","9897","0","667392","2302","679591","0.19"
"2025-11-28T10:04:42.225Z","Included","auto","No","2715","0","486656","866","490237","0.13"
"2025-11-28T10:01:59.980Z","Included","auto","No","13592","0","1257728","3005","1274325","0.35"
"2025-11-28T09:59:56.812Z","Included","auto","No","13540","0","1200896","3677","1218113","0.34"
"2025-11-28T09:53:53.672Z","Included","auto","No","8626","0","705792","1994","716412","0.20"
"2025-11-28T09:51:23.995Z","Included","auto","No","9757","0","931840","4104","945701","0.27"
"2025-11-28T09:49:50.420Z","Included","auto","No","10333","0","1008128","2397","1020858","0.28"
"2025-11-28T09:47:32.809Z","Included","auto","No","20764","0","457472","1215","479451","0.15"
"2025-11-28T09:40:34.831Z","Included","auto","No","30421","0","1175296","5151","1210868","0.36"
"2025-11-28T09:35:38.721Z","Included","auto","No","19056","0","442112","3654","464822","0.16"
"2025-11-28T09:33:12.278Z","Included","auto","No","81045","0","495360","3304","579709","0.24"
"2025-11-28T09:31:11.661Z","Included","auto","No","5982","0","362240","2913","371135","0.12"
"2025-11-28T09:28:11.265Z","Included","auto","No","22303","0","630272","5280","657855","0.22"
"2025-11-28T09:23:29.940Z","Included","auto","No","22746","0","559360","3757","585863","0.19"
"2025-11-28T09:22:14.813Z","Included","auto","No","16470","0","132096","1567","150133","0.06"
"2025-11-28T09:21:21.844Z","Included","auto","No","8359","0","123392","1222","132973","0.05"
"2025-11-28T09:18:20.378Z","Included","auto","No","2613","0","59904","1278","63795","0.03"
"2025-11-28T09:16:24.417Z","Included","auto","No","9561","0","82944","1607","94112","0.04"
"2025-11-28T09:14:15.774Z","Included","auto","No","16022","0","208640","446","225108","0.07"
"2025-11-28T09:12:16.211Z","Included","auto","No","22824","0","377600","2036","402460","0.14"
"2025-11-28T09:09:33.709Z","Included","auto","No","15846","0","707840","4081","727767","0.22"
"2025-11-28T09:07:00.283Z","Included","auto","No","14288","0","366592","3723","384603","0.13"
"2025-11-28T09:03:13.039Z","Included","auto","No","16238","0","182784","3104","202126","0.08"
"2025-11-28T09:00:55.177Z","Included","auto","No","7840","0","68864","1808","78512","0.04"
"2025-11-28T08:51:50.307Z","Included","auto","No","11840","0","574976","2424","589240","0.17"
"2025-11-28T08:46:03.826Z","Included","auto","No","22783","2263","683776","3314","712136","0.22"
"2025-11-28T08:38:18.211Z","Included","auto","No","25185","0","472064","5700","502949","0.18"
"2025-11-28T08:36:16.090Z","Included","auto","No","27728","0","531200","4025","562953","0.19"
"2025-11-28T08:32:52.530Z","Included","auto","No","20058","0","258048","2858","280964","0.11"
"2025-11-28T07:28:12.129Z","Included","auto","No","18541","0","295424","3673","317638","0.12"
"2025-11-28T07:24:05.567Z","Included","auto","No","25012","0","129024","2237","156273","0.08"
"2025-11-28T07:19:52.503Z","Included","auto","No","9431","0","51200","1022","61653","0.03"
"2025-11-28T07:09:13.452Z","Included","auto","No","20865","0","169472","3232","193569","0.09"
"2025-11-28T06:28:29.253Z","Included","auto","No","9942","0","108544","1066","119552","0.05"
"2025-11-28T06:26:56.290Z","Included","auto","No","7403","0","99328","1450","108181","0.04"
"2025-11-28T06:24:12.050Z","Included","auto","No","15480","0","122624","1547","139651","0.06"
"2025-11-28T03:41:33.616Z","Included","auto","No","8133","0","423168","1564","432865","0.13"
"2025-11-28T03:40:04.960Z","Included","auto","No","11385","0","498432","1774","511591","0.15"
"2025-11-28T03:36:00.149Z","Included","auto","No","14374","0","929536","4220","948130","0.28"
