Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-14T06:33:38.190Z","Included","composer-1","No","0","15183","395934","1767","412884","0.12"
"2025-11-14T06:31:42.828Z","Included","composer-1","No","0","33477","651600","2882","687959","0.21"
"2025-11-14T06:29:42.863Z","Included","composer-1","No","0","18914","432260","3177","454351","0.14"
"2025-11-14T06:27:23.830Z","Included","composer-1","No","0","203378","333788","11373","548539","0.21"
"2025-11-14T06:18:06.371Z","Included","composer-1","No","0","21593","1563445","3331","1588369","0.42"
"2025-11-14T06:16:06.637Z","Included","composer-1","No","0","32729","732159","2830","767718","0.23"
"2025-11-14T06:13:22.782Z","Included","composer-1","No","0","13546","528415","2505","544466","0.15"
"2025-11-14T06:09:29.013Z","Included","composer-1","No","0","43830","699905","2818","746553","0.23"
"2025-11-14T05:24:21.486Z","Included","composer-1","No","0","17923","858814","2925","879662","0.24"
"2025-11-14T05:20:29.713Z","Included","composer-1","No","0","18680","654246","2257","675183","0.19"
"2025-11-14T05:19:18.500Z","Included","composer-1","No","0","32520","747123","5409","785052","0.24"
"2025-11-14T05:16:44.989Z","Included","composer-1","No","0","59140","1407429","10763","1477332","0.45"
"2025-11-14T05:14:49.404Z","Included","composer-1","No","0","19650","1064932","5447","1090029","0.31"
"2025-11-14T05:11:53.905Z","Included","composer-1","No","0","9690","489879","1629","501198","0.14"
"2025-11-14T05:06:02.766Z","Included","composer-1","No","0","18517","1214578","5593","1238688","0.34"
"2025-11-14T05:03:50.107Z","Included","composer-1","No","0","25862","659287","2068","687217","0.20"
"2025-11-14T05:02:01.510Z","Included","composer-1","No","0","16317","837507","3697","857521","0.24"
"2025-11-14T04:56:22.215Z","Included","composer-1","No","0","44675","493562","4265","542502","0.18"
"2025-11-14T04:54:44.468Z","Included","composer-1","No","0","6509","257294","2029","265832","0.08"
"2025-11-14T04:12:33.605Z","Included","composer-1","No","0","18648","524923","5261","548832","0.17"
"2025-11-14T04:11:20.140Z","Included","composer-1","No","0","37750","672700","2434","712884","0.21"
"2025-11-14T04:08:42.863Z","Included","composer-1","No","0","20874","666100","5906","692880","0.21"
"2025-11-14T04:07:48.830Z","Included","composer-1","No","0","32794","380052","4594","417440","0.14"
"2025-11-14T04:05:53.203Z","Included","composer-1","No","0","54022","267426","4998","326446","0.14"
"2025-11-14T04:04:12.555Z","Included","composer-1","No","0","44219","215235","3501","262955","0.11"
"2025-11-14T03:58:45.065Z","Included","composer-1","No","0","16614","88012","1522","106148","0.04"
"2025-11-14T03:54:27.188Z","Included","composer-1","No","0","31469","1112407","3125","1147001","0.32"
